#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,sxhkd,binds key.
,vifm,is an extensive terminal file manager that everyone likes.
,tree,lists directory contents like trees. Used by vifm.
,bc,is used for a dropdown calculator.
,calcurse,is a lightweight terminal-based calendar.
,xorg-xprop,is a tool for detecting window properties.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,gnome-keyring,serves as the system keyring.
,neovim,a tidier vim with some useful features.
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video player.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,networkmanager,does exactly what it sounds like.
A,brave-bin,is a chromium based privacy browser.
,ntfs-3g,allows accessing NTFS partitions.
,pulseaudio,is the audio system (>inb4 bloat).
,pulseaudio-alsa,is an audio interface with ALSA.
,pulsemixer,is an intuitive ncurses audio controller.
,imagemagick,is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,htop,provides system usage information and displays processes.
,maim,can take quick screenshots at your request.
,socat,is a socket utility.
,unclutter,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
A,urlscan,parses URLs in the terminal allowing keyboard-based selection.
,xcape,gives the special escape/super mappings.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xorg-xdpyinfo,aids with resolution determination and screen recording.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-djvu,gives zathura the ability to read .djvu files.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
A,python-ueberzug,generates image previews in vifm and other terminal programs.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information and is used by vifm as well.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
A,task-spooler,queues commands or files for download.
A,simple-mtpfs,enables the mounting of cell phones.
G,https://github.com/RadeJR/dmenu,runs commands and provides a UI for selection.
G,https://github.com/RadeJR/st,is my custom build of suckless's terminal emulator.
,docx2txt,enables .docx file previews in vifm.
,odt2txt,enables .odt file previews in vifm.
,alsa-utils,gives audio controls.
,zsh,is my prefered shell.
,transmission-cli,is a torrent client.
A,transmission-remote-cli-git,is a TUI client for transmission.
,ttf-font-awesome,gives full icon support.
,zsh-syntax-highlighting,highlights shell commands.
A,compton-tryone-git,is a compositor.
,ttf-hack,is a monospace font of choice.
,lsd,is a colorful and nice new ls.
,ttf-roboto,is serif font of choice.
,ttf-roboto-mono,is a cool mono font.
A,nordic-theme-git,is a gtk theme based on nord colorscheme.
P,python-mpd2,is a library for mpd qtile widget.
,qtile,is a window manager written in python.
,lightdm,is a desktop manager used for loging in.
,lightdm-webkit2-greeter,is a lightdm frontend.
A,ant-dracula-theme-git,is a gtk dracula theme.
